City,State,Country,Confirmed,Dead,Recovered
Bryan,Oklahoma,US,6,1,0
Latimer,Oklahoma,US,4,1,0
Le Flore,Oklahoma,US,9,0,0
Cherokee,Oklahoma,US,26,1,0
Okmulgee,Oklahoma,US,16,0,0
Noble,Oklahoma,US,6,0,0
Roger Mills,Oklahoma,US,0,0,0
Pottawatomie,Oklahoma,US,40,4,0
Alfalfa,Oklahoma,US,1,0,0
Marshall,Oklahoma,US,2,0,0
Payne,Oklahoma,US,43,1,0
Wagoner,Oklahoma,US,114,13,0
Delaware,Oklahoma,US,90,10,0
Okfuskee,Oklahoma,US,1,0,0
Tulsa,Oklahoma,US,479,27,0
Logan,Oklahoma,US,12,0,0
Craig,Oklahoma,US,9,0,0
McClain,Oklahoma,US,30,0,0
Woodward,Oklahoma,US,1,0,0
Love,Oklahoma,US,2,0,0
Texas,Oklahoma,US,68,1,0
Woods,Oklahoma,US,3,0,0
Creek,Oklahoma,US,73,6,0
Tillman,Oklahoma,US,1,0,0
Unassigned,Oklahoma,US,0,0,0
Washita,Oklahoma,US,1,0,0
Kay,Oklahoma,US,47,6,0
Garfield,Oklahoma,US,11,1,0
Canadian,Oklahoma,US,90,3,0
Rogers,Oklahoma,US,46,3,0
Oklahoma,Oklahoma,US,694,29,0
Dewey,Oklahoma,US,2,0,0
Murray,Oklahoma,US,1,0,0
Cotton,Oklahoma,US,5,1,0
Cleveland,Oklahoma,US,400,27,0
Washington,Oklahoma,US,222,15,0
Cimarron,Oklahoma,US,1,0,0
Muskogee,Oklahoma,US,26,4,0
Grady,Oklahoma,US,34,1,0
Garvin,Oklahoma,US,13,0,0
Beaver,Oklahoma,US,2,0,0
Mayes,Oklahoma,US,21,3,0
Pawnee,Oklahoma,US,28,2,0
Seminole,Oklahoma,US,8,1,0
Comanche,Oklahoma,US,76,1,0
Grant,Oklahoma,US,2,0,0
Pontotoc,Oklahoma,US,10,1,0
Adair,Oklahoma,US,54,3,0
Stephens,Oklahoma,US,20,1,0
Jefferson,Oklahoma,US,2,0,0
Sequoyah,Oklahoma,US,11,3,0
Kiowa,Oklahoma,US,4,0,0
Caddo,Oklahoma,US,53,6,0
Harper,Oklahoma,US,1,0,0
McCurtain,Oklahoma,US,8,0,0
Beckham,Oklahoma,US,3,0,0
Major,Oklahoma,US,2,1,0
Osage,Oklahoma,US,71,8,0
Choctaw,Oklahoma,US,3,0,0
Nowata,Oklahoma,US,19,0,0
Blaine,Oklahoma,US,0,0,0
Kingfisher,Oklahoma,US,7,0,0
Greer,Oklahoma,US,64,6,0
,Tennessee,US,9189,177,0
Franklin,Tennessee,US,29,1,0
Pickett,Tennessee,US,0,0,0
Dyer,Tennessee,US,31,0,0
Bledsoe,Tennessee,US,586,0,0
Haywood,Tennessee,US,17,1,0
Carter,Tennessee,US,10,1,0
Fayette,Tennessee,US,51,1,0
Sequatchie,Tennessee,US,4,0,0
Cocke,Tennessee,US,14,0,0
Hardin,Tennessee,US,5,0,0
Lincoln,Tennessee,US,12,0,0
Maury,Tennessee,US,38,0,0
Hawkins,Tennessee,US,29,2,0
Macon,Tennessee,US,37,3,0
Montgomery,Tennessee,US,134,2,0
Smith,Tennessee,US,19,1,0
Cumberland,Tennessee,US,66,0,0
Chester,Tennessee,US,10,0,0
DeKalb,Tennessee,US,11,0,0
Meigs,Tennessee,US,5,0,0
Wayne,Tennessee,US,2,0,0
Sullivan,Tennessee,US,48,1,0
Robertson,Tennessee,US,127,0,0
Unassigned,Tennessee,US,48,0,0
Hancock,Tennessee,US,0,0,0
Coffee,Tennessee,US,31,0,0
Union,Tennessee,US,3,0,0
Washington,Tennessee,US,49,0,0
Morgan,Tennessee,US,6,0,0
Williamson,Tennessee,US,381,7,0
Blount,Tennessee,US,53,3,0
Rhea,Tennessee,US,3,0,0
Humphreys,Tennessee,US,9,1,0
Van Buren,Tennessee,US,2,0,0
Cheatham,Tennessee,US,36,0,0
Dickson,Tennessee,US,64,0,0
Grainger,Tennessee,US,4,0,0
Johnson,Tennessee,US,2,0,0
Jefferson,Tennessee,US,17,0,0
Lawrence,Tennessee,US,16,0,0
Benton,Tennessee,US,6,1,0
McNairy,Tennessee,US,11,0,0
Carroll,Tennessee,US,16,1,0
Sevier,Tennessee,US,42,1,0
Henderson,Tennessee,US,5,0,0
Greene,Tennessee,US,41,2,0
Scott,Tennessee,US,11,0,0
Claiborne,Tennessee,US,5,0,0
Jackson,Tennessee,US,7,0,0
Lake,Tennessee,US,48,0,0
Fentress,Tennessee,US,4,0,0
Knox,Tennessee,US,210,4,0
Moore,Tennessee,US,3,0,0
Perry,Tennessee,US,8,0,0
Rutherford,Tennessee,US,387,8,0
Hamblen,Tennessee,US,14,2,0
Trousdale,Tennessee,US,47,1,0
Clay,Tennessee,US,5,0,0
Lauderdale,Tennessee,US,16,0,0
Campbell,Tennessee,US,13,1,0
Weakley,Tennessee,US,16,0,0
Hardeman,Tennessee,US,11,0,0
Marshall,Tennessee,US,22,1,0
Tipton,Tennessee,US,91,0,0
Out of TN,Tennessee,US,307,1,0
Obion,Tennessee,US,12,1,0
Shelby,Tennessee,US,2086,43,0
Giles,Tennessee,US,5,0,0
Madison,Tennessee,US,99,1,0
Cannon,Tennessee,US,10,0,0
Bradley,Tennessee,US,41,1,0
McMinn,Tennessee,US,10,0,0
Stewart,Tennessee,US,6,0,0
Decatur,Tennessee,US,4,0,0
Warren,Tennessee,US,5,0,0
Loudon,Tennessee,US,25,0,0
Sumner,Tennessee,US,584,34,0
Hamilton,Tennessee,US,140,13,0
Grundy,Tennessee,US,28,1,0
Henry,Tennessee,US,11,0,0
Davidson,Tennessee,US,2136,22,0
Putnam,Tennessee,US,106,5,0
Hickman,Tennessee,US,40,0,0
Unicoi,Tennessee,US,1,0,0
Wilson,Tennessee,US,199,3,0
Monroe,Tennessee,US,12,1,0
Gibson,Tennessee,US,35,1,0
Roane,Tennessee,US,7,0,0
Anderson,Tennessee,US,24,1,0
Overton,Tennessee,US,7,0,0
White,Tennessee,US,4,0,0
Lewis,Tennessee,US,2,0,0
Polk,Tennessee,US,6,0,0
Bedford,Tennessee,US,150,2,0
Crockett,Tennessee,US,7,0,0
Marion,Tennessee,US,28,1,0
Houston,Tennessee,US,4,0,0
,American Samoa,US,0,0,0
,Alabama,US,6026,209,0
Franklin,Alabama,US,32,0,0
Autauga,Alabama,US,36,2,0
Cullman,Alabama,US,47,0,0
Limestone,Alabama,US,41,0,0
Etowah,Alabama,US,121,8,0
Jackson,Alabama,US,45,2,0
Covington,Alabama,US,31,0,0
Fayette,Alabama,US,4,0,0
Escambia,Alabama,US,22,1,0
Perry,Alabama,US,9,0,0
Winston,Alabama,US,10,0,0
Coosa,Alabama,US,29,1,0
Pike,Alabama,US,58,0,0
St. Clair,Alabama,US,63,0,0
Lowndes,Alabama,US,36,1,0
Randolph,Alabama,US,60,4,0
Chambers,Alabama,US,282,17,0
Clarke,Alabama,US,24,1,0
Clay,Alabama,US,19,0,0
Bullock,Alabama,US,12,0,0
Cherokee,Alabama,US,12,0,0
Lauderdale,Alabama,US,25,2,0
Macon,Alabama,US,29,2,0
Montgomery,Alabama,US,274,4,0
Walker,Alabama,US,89,0,0
Marshall,Alabama,US,267,4,0
DeKalb,Alabama,US,61,2,0
Russell,Alabama,US,53,0,0
Marengo,Alabama,US,39,3,0
Shelby,Alabama,US,294,7,0
Unassigned,Alabama,US,0,0,0
Madison,Alabama,US,202,4,0
Geneva,Alabama,US,6,0,0
Barbour,Alabama,US,32,0,0
Coffee,Alabama,US,87,1,0
Pickens,Alabama,US,45,1,0
Washington,Alabama,US,19,1,0
Sumter,Alabama,US,51,1,0
Crenshaw,Alabama,US,10,0,0
Morgan,Alabama,US,55,0,0
Blount,Alabama,US,31,0,0
Chilton,Alabama,US,49,1,0
Dallas,Alabama,US,32,2,0
Butler,Alabama,US,21,0,0
Henry,Alabama,US,22,1,0
Tallapoosa,Alabama,US,261,17,0
Out of AL,Alabama,US,0,0,0
Calhoun,Alabama,US,89,3,0
Baldwin,Alabama,US,147,3,0
Jefferson,Alabama,US,797,33,0
Lawrence,Alabama,US,12,0,0
Monroe,Alabama,US,11,1,0
Lee,Alabama,US,351,22,0
Mobile,Alabama,US,845,40,0
Colbert,Alabama,US,23,2,0
Hale,Alabama,US,39,2,0
Choctaw,Alabama,US,25,0,0
Lamar,Alabama,US,10,0,0
Dale,Alabama,US,23,0,0
Tuscaloosa,Alabama,US,182,0,0
Talladega,Alabama,US,54,2,0
Bibb,Alabama,US,34,0,0
Conecuh,Alabama,US,9,0,0
Marion,Alabama,US,69,5,0
Wilcox,Alabama,US,53,1,0
Cleburne,Alabama,US,12,1,0
Elmore,Alabama,US,74,1,0
Greene,Alabama,US,44,0,0
Houston,Alabama,US,76,3,0
,Arkansas,US,2911,48,0
Franklin,Arkansas,US,1,0,0
Hempstead,Arkansas,US,5,1,0
Yell,Arkansas,US,3,0,0
Desha,Arkansas,US,16,0,0
Searcy,Arkansas,US,6,0,0
Prairie,Arkansas,US,2,0,0
Sharp,Arkansas,US,2,0,0
Ouachita,Arkansas,US,5,0,0
Jackson,Arkansas,US,1,0,0
Stone,Arkansas,US,7,0,0
Boone,Arkansas,US,4,0,0
Perry,Arkansas,US,6,0,0
Howard,Arkansas,US,13,0,0
Pike,Arkansas,US,3,0,0
Little River,Arkansas,US,0,0,0
Faulkner,Arkansas,US,70,2,0
Lincoln,Arkansas,US,721,0,0
Randolph,Arkansas,US,15,0,0
Clay,Arkansas,US,2,0,0
St. Francis,Arkansas,US,75,0,0
Hot Spring,Arkansas,US,9,0,0
Montgomery,Arkansas,US,0,0,0
Baxter,Arkansas,US,5,0,0
Mississippi,Arkansas,US,11,0,0
Newton,Arkansas,US,3,0,0
Columbia,Arkansas,US,6,0,0
Logan,Arkansas,US,3,0,0
Miller,Arkansas,US,32,1,0
Unassigned,Arkansas,US,202,0,0
Chicot,Arkansas,US,8,0,0
Drew,Arkansas,US,13,1,0
Fulton,Arkansas,US,1,0,0
Madison,Arkansas,US,1,0,0
Bradley,Arkansas,US,7,1,0
Craighead,Arkansas,US,62,1,0
Cross,Arkansas,US,11,0,0
Saline,Arkansas,US,54,1,0
Phillips,Arkansas,US,4,1,0
Arkansas,Arkansas,US,2,0,0
Cleveland,Arkansas,US,9,0,0
Pulaski,Arkansas,US,471,14,0
Union,Arkansas,US,32,0,0
Washington,Arkansas,US,74,3,0
Clark,Arkansas,US,29,0,0
Van Buren,Arkansas,US,27,2,0
Dallas,Arkansas,US,1,0,0
Crittenden,Arkansas,US,169,5,0
Izard,Arkansas,US,3,0,0
Nevada,Arkansas,US,1,0,0
Grant,Arkansas,US,11,0,0
Johnson,Arkansas,US,26,0,0
Calhoun,Arkansas,US,0,0,0
Independence,Arkansas,US,9,0,0
Jefferson,Arkansas,US,149,7,0
Lawrence,Arkansas,US,41,1,0
Out of AR,Arkansas,US,0,0,0
Conway,Arkansas,US,10,1,0
Monroe,Arkansas,US,4,0,0
Benton,Arkansas,US,79,0,0
Woodruff,Arkansas,US,1,0,0
Lee,Arkansas,US,3,1,0
Carroll,Arkansas,US,4,0,0
Pope,Arkansas,US,37,0,0
White,Arkansas,US,31,1,0
Lafayette,Arkansas,US,6,0,0
Poinsett,Arkansas,US,14,0,0
Crawford,Arkansas,US,4,0,0
Polk,Arkansas,US,7,0,0
Ashley,Arkansas,US,13,0,0
Garland,Arkansas,US,111,0,0
Sevier,Arkansas,US,11,0,0
Marion,Arkansas,US,1,0,0
Lonoke,Arkansas,US,33,0,0
Sebastian,Arkansas,US,12,0,0
Cleburne,Arkansas,US,72,4,0
Greene,Arkansas,US,14,0,0
Scott,Arkansas,US,1,0,0
,South Carolina,US,5253,166,0
Newberry,South Carolina,US,22,1,0
Charleston,South Carolina,US,424,6,0
Oconee,South Carolina,US,20,0,0
York,South Carolina,US,177,3,0
Dillon,South Carolina,US,35,0,0
Florence,South Carolina,US,242,9,0
Out of SC,South Carolina,US,0,0,0
Aiken,South Carolina,US,89,6,0
Berkeley,South Carolina,US,181,8,0
Darlington,South Carolina,US,103,0,0
Kershaw,South Carolina,US,215,10,0
Edgefield,South Carolina,US,23,1,0
Pickens,South Carolina,US,44,0,0
Richland,South Carolina,US,787,18,0
Lexington,South Carolina,US,317,12,0
Union,South Carolina,US,25,0,0
Sumter,South Carolina,US,213,6,0
Horry,South Carolina,US,201,12,0
Williamsburg,South Carolina,US,45,0,0
Dorchester,South Carolina,US,86,2,0
Georgetown,South Carolina,US,39,2,0
Saluda,South Carolina,US,28,0,0
Calhoun,South Carolina,US,6,1,0
Cherokee,South Carolina,US,14,0,0
Greenwood,South Carolina,US,43,0,0
Greenville,South Carolina,US,564,16,0
Marlboro,South Carolina,US,38,0,0
Lancaster,South Carolina,US,85,3,0
Bamberg,South Carolina,US,7,0,0
Beaufort,South Carolina,US,253,10,0
Spartanburg,South Carolina,US,243,8,0
Hampton,South Carolina,US,21,0,0
Anderson,South Carolina,US,138,6,0
Lee,South Carolina,US,51,6,0
Clarendon,South Carolina,US,172,9,0
Chester,South Carolina,US,27,0,0
Abbeville,South Carolina,US,24,0,0
Barnwell,South Carolina,US,14,0,0
Jasper,South Carolina,US,17,1,0
Colleton,South Carolina,US,26,3,0
Orangeburg,South Carolina,US,56,1,0
Allendale,South Carolina,US,8,1,0
Unassigned,South Carolina,US,0,0,0
McCormick,South Carolina,US,6,1,0
Fairfield,South Carolina,US,29,2,0
Marion,South Carolina,US,29,1,0
Laurens,South Carolina,US,22,1,0
Chesterfield,South Carolina,US,44,0,0
,Washington,US,13319,737,0
Franklin,Washington,US,250,5,0
Snohomish,Washington,US,2297,102,0
Out of WA,Washington,US,0,0,0
Garfield,Washington,US,0,0,0
Cowlitz,Washington,US,39,0,0
Pend Oreille,Washington,US,2,0,0
Whitman,Washington,US,14,0,0
Spokane,Washington,US,345,19,0
Okanogan,Washington,US,17,1,0
Pierce,Washington,US,1235,46,0
Clark,Washington,US,296,18,0
King,Washington,US,5739,400,0
Kitsap,Washington,US,144,2,0
Skamania,Washington,US,3,0,0
Grays Harbor,Washington,US,12,0,0
Lincoln,Washington,US,2,0,0
Whatcom,Washington,US,284,27,0
Grant,Washington,US,150,2,0
San Juan,Washington,US,14,0,0
Chelan,Washington,US,90,5,0
Stevens,Washington,US,10,1,0
Adams,Washington,US,46,0,0
Jefferson,Washington,US,28,0,0
Benton,Washington,US,399,37,0
Island,Washington,US,161,9,0
Asotin,Washington,US,17,1,0
Ferry,Washington,US,1,0,0
Klickitat,Washington,US,16,3,0
Clallam,Washington,US,15,0,0
Yakima,Washington,US,976,44,0
Columbia,Washington,US,1,0,0
Douglas,Washington,US,70,1,0
Mason,Washington,US,22,0,0
Pacific,Washington,US,4,0,0
Lewis,Washington,US,29,3,0
Kittitas,Washington,US,14,0,0
Walla Walla,Washington,US,50,0,0
Wahkiakum,Washington,US,2,0,0
Unassigned,Washington,US,137,0,0
Skagit,Washington,US,287,10,0
Thurston,Washington,US,101,1,0
,Nebraska,US,2719,50,0
Franklin,Nebraska,US,3,0,0
Cherry,Nebraska,US,1,0,0
Arthur,Nebraska,US,0,0,0
Seward,Nebraska,US,6,1,0
Stanton,Nebraska,US,2,0,0
Fillmore,Nebraska,US,1,0,0
Hayes,Nebraska,US,0,0,0
Cedar,Nebraska,US,0,0,0
Keya Paha,Nebraska,US,0,0,0
Merrick,Nebraska,US,10,0,0
Boone,Nebraska,US,0,0,0
Knox,Nebraska,US,2,0,0
Pierce,Nebraska,US,1,0,0
Howard,Nebraska,US,11,0,0
Custer,Nebraska,US,21,2,0
Lincoln,Nebraska,US,20,1,0
Hooker,Nebraska,US,0,0,0
Buffalo,Nebraska,US,85,1,0
Colfax,Nebraska,US,9,0,0
Cuming,Nebraska,US,3,0,0
Clay,Nebraska,US,5,0,0
Platte,Nebraska,US,16,0,0
Rock,Nebraska,US,0,0,0
Boyd,Nebraska,US,0,0,0
Gosper,Nebraska,US,8,0,0
Hitchcock,Nebraska,US,0,0,0
Saunders,Nebraska,US,9,0,0
Chase,Nebraska,US,0,0,0
Sheridan,Nebraska,US,0,0,0
Webster,Nebraska,US,3,0,0
Cheyenne,Nebraska,US,5,0,0
Wayne,Nebraska,US,1,0,0
Douglas,Nebraska,US,382,10,0
Keith,Nebraska,US,0,0,0
Logan,Nebraska,US,0,0,0
Valley,Nebraska,US,0,0,0
Nemaha,Nebraska,US,1,0,0
Unassigned,Nebraska,US,0,12,0
Otoe,Nebraska,US,1,0,0
Thurston,Nebraska,US,1,0,0
Dawson,Nebraska,US,352,0,0
Brown,Nebraska,US,0,0,0
Cass,Nebraska,US,4,0,0
Madison,Nebraska,US,55,2,0
Morrill,Nebraska,US,1,0,0
Dawes,Nebraska,US,0,0,0
Furnas,Nebraska,US,2,0,0
Garfield,Nebraska,US,0,0,0
Dodge,Nebraska,US,45,0,0
York,Nebraska,US,9,0,0
Dundy,Nebraska,US,0,0,0
Thayer,Nebraska,US,0,0,0
Saline,Nebraska,US,38,0,0
Holt,Nebraska,US,0,0,0
Kearney,Nebraska,US,4,0,0
Washington,Nebraska,US,22,1,0
Hamilton,Nebraska,US,46,2,0
Sherman,Nebraska,US,1,0,0
Loup,Nebraska,US,0,0,0
Pawnee,Nebraska,US,0,0,0
Red Willow,Nebraska,US,1,0,0
Wheeler,Nebraska,US,0,0,0
Butler,Nebraska,US,1,0,0
Sioux,Nebraska,US,0,0,0
Kimball,Nebraska,US,9,0,0
Thomas,Nebraska,US,0,0,0
Garden,Nebraska,US,0,0,0
Grant,Nebraska,US,0,0,0
Johnson,Nebraska,US,2,0,0
Perkins,Nebraska,US,0,0,0
Nance,Nebraska,US,1,0,0
Adams,Nebraska,US,125,2,0
Banner,Nebraska,US,0,0,0
Jefferson,Nebraska,US,0,0,0
Lancaster,Nebraska,US,120,1,0
Harlan,Nebraska,US,0,0,0
Burt,Nebraska,US,1,0,0
Frontier,Nebraska,US,0,0,0
McPherson,Nebraska,US,0,0,0
Phelps,Nebraska,US,1,0,0
Out of NE,Nebraska,US,0,0,0
Nuckolls,Nebraska,US,0,0,0
Sarpy,Nebraska,US,77,0,0
Greeley,Nebraska,US,1,0,0
Richardson,Nebraska,US,0,0,0
Blaine,Nebraska,US,0,0,0
Deuel,Nebraska,US,0,0,0
Scotts Bluff,Nebraska,US,26,0,0
Antelope,Nebraska,US,2,0,0
Polk,Nebraska,US,5,0,0
Gage,Nebraska,US,29,3,0
Box Butte,Nebraska,US,1,0,0
Hall,Nebraska,US,797,12,0
Dakota,Nebraska,US,332,0,0
Dixon,Nebraska,US,2,0,0
,West Virginia,US,1010,32,0
Upshur,West Virginia,US,4,0,0
Wyoming,West Virginia,US,1,0,0
Berkeley,West Virginia,US,129,1,0
Jackson,West Virginia,US,116,8,0
Tyler,West Virginia,US,3,0,0
Fayette,West Virginia,US,9,0,0
Boone,West Virginia,US,2,0,0
McDowell,West Virginia,US,6,0,0
Out of WV,West Virginia,US,0,0,0
Pleasants,West Virginia,US,2,0,0
Monongalia,West Virginia,US,97,4,0
Lincoln,West Virginia,US,1,0,0
Randolph,West Virginia,US,4,0,0
Wirt,West Virginia,US,3,0,0
Wetzel,West Virginia,US,3,0,0
Clay,West Virginia,US,0,0,0
Taylor,West Virginia,US,5,0,0
Nicholas,West Virginia,US,6,0,0
Marshall,West Virginia,US,9,0,0
Brooke,West Virginia,US,3,0,0
Webster,West Virginia,US,0,0,0
Wayne,West Virginia,US,81,6,0
Harrison,West Virginia,US,30,1,0
Logan,West Virginia,US,11,1,0
Mason,West Virginia,US,11,0,0
Unassigned,West Virginia,US,0,0,0
Braxton,West Virginia,US,1,0,0
Tucker,West Virginia,US,4,0,0
Preston,West Virginia,US,12,0,0
Ritchie,West Virginia,US,0,0,0
Pocahontas,West Virginia,US,0,0,0
Hancock,West Virginia,US,7,0,0
Barbour,West Virginia,US,4,1,0
Greenbrier,West Virginia,US,3,0,0
Gilmer,West Virginia,US,0,0,0
Kanawha,West Virginia,US,147,3,0
Morgan,West Virginia,US,9,0,0
Hampshire,West Virginia,US,7,1,0
Cabell,West Virginia,US,38,0,0
Mineral,West Virginia,US,12,0,0
Grant,West Virginia,US,1,0,0
Putnam,West Virginia,US,16,0,0
Pendleton,West Virginia,US,3,0,0
Calhoun,West Virginia,US,0,0,0
Raleigh,West Virginia,US,9,0,0
Wood,West Virginia,US,36,2,0
Jefferson,West Virginia,US,70,0,0
Monroe,West Virginia,US,5,0,0
Hardy,West Virginia,US,3,0,0
Roane,West Virginia,US,3,0,0
Mingo,West Virginia,US,2,1,0
Lewis,West Virginia,US,3,0,0
Ohio,West Virginia,US,25,1,0
Doddridge,West Virginia,US,0,0,0
Marion,West Virginia,US,44,2,0
Summers,West Virginia,US,1,0,0
Mercer,West Virginia,US,9,0,0
,Colorado,US,12968,684,0
Moffat,Colorado,US,6,0,0
Clear Creek,Colorado,US,13,1,0
Gilpin,Colorado,US,1,0,0
Huerfano,Colorado,US,2,0,0
Jackson,Colorado,US,0,0,0
Lake,Colorado,US,16,0,0
Summit,Colorado,US,97,1,0
Montrose,Colorado,US,87,9,0
Routt,Colorado,US,52,4,0
San Miguel,Colorado,US,17,0,0
Crowley,Colorado,US,2,1,0
Larimer,Colorado,US,303,18,0
Custer,Colorado,US,2,0,0
Chaffee,Colorado,US,66,13,0
Lincoln,Colorado,US,4,0,0
Eagle,Colorado,US,512,7,0
Mesa,Colorado,US,38,0,0
Out of CO,Colorado,US,0,2,0
El Paso,Colorado,US,862,72,0
Boulder,Colorado,US,497,29,0
Pueblo,Colorado,US,121,9,0
Hinsdale,Colorado,US,3,0,0
Teller,Colorado,US,27,2,0
Rio Blanco,Colorado,US,1,0,0
Alamosa,Colorado,US,10,2,0
Archuleta,Colorado,US,8,0,0
Park,Colorado,US,7,0,0
Cheyenne,Colorado,US,0,0,0
Otero,Colorado,US,8,1,0
Douglas,Colorado,US,425,19,0
Logan,Colorado,US,213,1,0
Montezuma,Colorado,US,15,2,0
Unassigned,Colorado,US,131,2,0
Rio Grande,Colorado,US,7,0,0
Conejos,Colorado,US,0,0,0
Garfield,Colorado,US,83,2,0
Dolores,Colorado,US,0,0,0
Phillips,Colorado,US,5,0,0
Kit Carson,Colorado,US,19,2,0
Washington,Colorado,US,6,0,0
Weld,Colorado,US,1430,82,0
Broomfield,Colorado,US,135,5,0
Las Animas,Colorado,US,3,0,0
Elbert,Colorado,US,27,1,0
Morgan,Colorado,US,249,11,0
Prowers,Colorado,US,1,0,0
Costilla,Colorado,US,3,0,0
Denver,Colorado,US,2487,132,0
Fremont,Colorado,US,20,0,0
Mineral,Colorado,US,2,0,0
San Juan,Colorado,US,0,0,0
Baca,Colorado,US,10,0,0
Saguache,Colorado,US,3,0,0
Adams,Colorado,US,1302,57,0
Jefferson,Colorado,US,1236,61,0
Kiowa,Colorado,US,0,0,0
Arapahoe,Colorado,US,2083,127,0
La Plata,Colorado,US,59,0,0
Grand,Colorado,US,5,0,0
Sedgwick,Colorado,US,0,0,0
Ouray,Colorado,US,5,1,0
Pitkin,Colorado,US,59,3,0
Delta,Colorado,US,26,1,0
Bent,Colorado,US,0,0,0
Gunnison,Colorado,US,151,4,0
Yuma,Colorado,US,6,0,0
,Massachusetts,US,53348,2730,0
Franklin,Massachusetts,US,225,32,0
Plymouth,Massachusetts,US,4380,212,0
Barnstable,Massachusetts,US,756,37,0
Hampden,Massachusetts,US,3229,315,0
Out of MA,Massachusetts,US,0,0,0
Suffolk,Massachusetts,US,11218,391,0
Worcester,Massachusetts,US,4460,183,0
Berkshire,Massachusetts,US,425,31,0
Bristol,Massachusetts,US,2829,130,0
Hampshire,Massachusetts,US,412,20,0
Middlesex,Massachusetts,US,12253,629,0
Nantucket,Massachusetts,US,0,0,0
Unassigned,Massachusetts,US,753,13,0
Essex,Massachusetts,US,7212,336,0
Dukes,Massachusetts,US,0,0,0
Norfolk,Massachusetts,US,5172,400,0
Dukes and Nantucket,Massachusetts,US,24,1,0
,Missouri,US,6935,281,0
Franklin,Missouri,US,106,8,0
Dent,Missouri,US,0,0,0
Ray,Missouri,US,10,0,0
Carter,Missouri,US,3,1,0
Cedar,Missouri,US,5,0,0
Boone,Missouri,US,98,1,0
Howard,Missouri,US,2,0,0
Pike,Missouri,US,7,0,0
Pemiscot,Missouri,US,18,1,0
St. Clair,Missouri,US,2,0,0
Lincoln,Missouri,US,67,1,0
Camden,Missouri,US,35,1,0
Gasconade,Missouri,US,2,0,0
Kansas City,Missouri,US,486,15,0
Macon,Missouri,US,2,0,0
Cole,Missouri,US,50,1,0
Montgomery,Missouri,US,7,0,0
Daviess,Missouri,US,2,0,0
Maries,Missouri,US,2,0,0
Bollinger,Missouri,US,4,0,0
Nodaway,Missouri,US,3,0,0
Buchanan,Missouri,US,48,1,0
Webster,Missouri,US,13,0,0
DeKalb,Missouri,US,3,0,0
Wayne,Missouri,US,0,0,0
Mississippi,Missouri,US,23,0,0
Newton,Missouri,US,10,1,0
Douglas,Missouri,US,0,0,0
Sullivan,Missouri,US,0,0,0
Taney,Missouri,US,10,1,0
Linn,Missouri,US,5,1,0
St. Louis City,Missouri,US,1019,50,0
Unassigned,Missouri,US,1,0,0
Cass,Missouri,US,58,6,0
Cape Girardeau,Missouri,US,43,1,0
Howell,Missouri,US,5,0,0
Saline,Missouri,US,143,0,0
Washington,Missouri,US,8,0,0
Morgan,Missouri,US,3,0,0
Out of MO,Missouri,US,0,0,0
Ste. Genevieve,Missouri,US,7,1,0
Dallas,Missouri,US,2,0,0
St. Louis,Missouri,US,2720,127,0
Butler,Missouri,US,25,0,0
Gentry,Missouri,US,1,0,0
Johnson,Missouri,US,53,0,0
Reynolds,Missouri,US,2,0,0
Jefferson,Missouri,US,253,3,0
Lawrence,Missouri,US,0,0,0
Benton,Missouri,US,4,0,0
Caldwell,Missouri,US,2,0,0
Phelps,Missouri,US,1,0,0
Ripley,Missouri,US,5,0,0
Carroll,Missouri,US,3,0,0
Jasper,Missouri,US,24,0,0
Pettis,Missouri,US,25,0,0
Cooper,Missouri,US,7,0,0
Greene,Missouri,US,93,8,0
Mercer,Missouri,US,0,0,0
Scott,Missouri,US,60,1,0
Jackson,Missouri,US,303,12,0
Shannon,Missouri,US,0,0,0
Stone,Missouri,US,3,0,0
Knox,Missouri,US,0,0,0
Worth,Missouri,US,1,0,0
Perry,Missouri,US,39,0,0
Randolph,Missouri,US,8,0,0
Hickory,Missouri,US,0,0,0
Clay,Missouri,US,65,1,0
Moniteau,Missouri,US,59,0,0
Platte,Missouri,US,31,0,0
Andrew,Missouri,US,1,0,0
Barton,Missouri,US,0,0,0
Bates,Missouri,US,6,1,0
Dunklin,Missouri,US,19,2,0
Clinton,Missouri,US,11,0,0
Laclede,Missouri,US,0,0,0
Harrison,Missouri,US,6,0,0
Chariton,Missouri,US,5,0,0
Barry,Missouri,US,6,0,0
St. Charles,Missouri,US,524,29,0
Miller,Missouri,US,1,0,0
Texas,Missouri,US,0,0,0
Shelby,Missouri,US,1,0,0
Oregon,Missouri,US,1,0,0
Madison,Missouri,US,1,0,0
New Madrid,Missouri,US,9,0,0
Wright,Missouri,US,9,0,0
Scotland,Missouri,US,4,0,0
Iron,Missouri,US,2,0,0
Holt,Missouri,US,1,0,0
Pulaski,Missouri,US,33,1,0
McDonald,Missouri,US,4,0,0
Warren,Missouri,US,22,0,0
Clark,Missouri,US,1,0,0
Schuyler,Missouri,US,0,0,0
Atchison,Missouri,US,2,0,0
Grundy,Missouri,US,0,0,0
Henry,Missouri,US,6,1,0
Putnam,Missouri,US,0,0,0
Adair,Missouri,US,12,0,0
Livingston,Missouri,US,2,0,0
Monroe,Missouri,US,0,0,0
Stoddard,Missouri,US,19,0,0
